,Age,MonthlyIncome,TotalWorkingYears,YearsAtCompany,DistanceFromHome,PercentSalaryHike,NumCompaniesWorked,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,Attrition
0,51,131160,1,1,6,11,1,0,3,4,0
1,31,41890,6,5,10,23,0,4,3,2,1
2,32,193280,5,5,17,15,1,3,2,2,0
3,38,83210,13,8,2,11,3,5,4,4,0
4,32,23420,9,6,10,12,4,4,4,1,0
5,46,40710,28,7,8,13,3,7,3,2,0
6,28,58130,5,0,11,20,2,0,1,3,1
7,29,31430,10,0,18,22,2,0,1,2,0
8,31,20440,10,9,1,21,0,8,2,4,0
9,25,134640,6,6,7,13,1,5,2,1,0
10,45,79910,21,20,17,13,0,10,3,4,0
11,36,33770,16,15,28,12,0,11,3,4,0
12,55,55380,37,36,14,17,0,13,4,1,0
13,47,57620,10,10,1,11,1,9,1,2,1
14,28,25920,5,5,1,14,1,4,4,4,0
15,37,53460,7,5,1,11,4,1,3,4,0
16,21,42130,3,3,3,12,1,0,4,3,0
17,37,41270,15,5,1,13,2,2,1,4,0
18,35,24380,10,7,7,16,7,2,2,2,0
19,38,68700,8,8,8,11,1,7,1,1,0
20,26,104470,6,6,1,18,1,4,3,2,0
21,50,96670,28,10,8,23,3,6,1,2,0
22,53,21480,21,5,11,11,3,3,3,3,0
23,42,89260,10,20,4,14,1,6,2,3,0
24,29,65130,10,10,16,11,1,9,2,4,0
25,55,67990,12,10,1,11,3,8,2,4,0
26,26,162910,5,5,9,22,1,3,1,1,0
27,37,27050,17,17,5,11,1,7,4,4,0
28,44,103330,19,1,1,14,3,0,4,3,1
29,38,44480,10,2,2,12,9,2,4,4,0
30,26,68540,5,3,4,11,2,2,1,2,1
31,28,96370,5,5,7,13,1,2,4,4,0
32,49,35910,22,3,1,13,9,2,3,1,0
33,36,54050,10,8,5,14,4,7,3,2,0
34,31,46840,2,2,9,16,1,2,4,2,0
35,26,157870,8,8,8,12,1,4,4,4,1
36,37,15140,4,4,9,14,1,2,2,4,0
37,42,29560,23,20,2,13,5,8,3,2,0
38,18,23350,0,0,1,14,1,0,3,3,1
39,35,51540,12,11,20,19,0,9,3,2,0
40,36,69620,4,1,8,12,4,0,3,4,0
41,51,56750,13,4,2,13,5,2,4,2,0
42,41,23790,22,22,29,12,1,4,4,2,0
43,18,38120,0,0,7,15,1,0,4,3,0
44,28,46480,9,8,9,23,0,7,2,1,0
45,31,29360,10,8,8,12,4,7,2,4,0
46,39,21050,19,18,5,20,0,7,3,4,0
47,36,85780,11,9,5,21,7,8,2,2,0
48,32,27060,13,13,2,21,1,8,4,3,0
49,38,63840,19,10,5,19,3,1,1,2,0
50,58,39680,12,5,2,13,2,2,4,3,0
51,31,99070,6,5,20,13,0,3,3,4,0
52,31,132250,9,2,7,21,3,0,1,1,0
53,45,35400,24,24,3,13,1,11,1,1,0
54,31,28040,3,2,16,19,0,2,3,4,0
55,33,193920,12,10,9,12,6,8,4,2,0
56,39,196650,21,21,1,22,1,10,3,1,0
57,43,24390,9,8,7,15,0,7,3,4,0
